year,conference,Rk,School,G,W,L,W%,,ORtg,DRtg,NRtg,FG,FGA,FG%,3P,3PA,3P%,eFG%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,SRS,SOS,Pace
2024,Big Ten,8,Michigan State,35,3,7,0.571,,109.4,99.1,10.2,27.1,58.8,0.461,6.5,17.9,0.363,0.516,12.2,17.2,0.708,10.1,34.7,15.9,7.1,3.8,10.0,16.6,66.1,17.72,10.89,66.4
2024,Big Ten,9,Minnesota,34,3,9,0.559,,110.3,105.7,4.6,26.8,56.8,0.472,7.9,22.2,0.355,0.541,13.6,19.7,0.69,10.1,34.9,17.3,6.3,4.4,12.0,16.1,71.9,9.51,6.4,67.7
2024,Big Ten,10,Ohio State,36,2,8,0.611,,110.9,103.1,7.8,26.6,59.1,0.45,7.1,20.4,0.345,0.51,15.3,19.9,0.767,10.9,37.1,14.1,5.6,4.6,10.6,17.0,70.2,13.64,8.37,67.3
2024,Big Ten,11,Penn State,33,2,8,0.485,,106.1,103.7,2.4,25.9,59.1,0.438,7.7,23.2,0.334,0.503,15.6,20.9,0.747,9.6,32.3,12.6,8.3,3.4,11.1,18.3,73.4,9.22,7.52,70.2
2024,Big Ten,12,Maryland,33,4,8,0.485,,103.0,98.3,4.7,23.2,56.2,0.413,6.1,21.1,0.289,0.467,16.5,22.9,0.72,11.5,35.7,10.9,6.6,4.5,11.7,17.5,65.9,10.6,7.44,66.3
2024,Big Ten,13,Rutgers,32,3,9,0.469,,95.0,96.6,-1.7,23.4,60.2,0.389,5.5,19.1,0.287,0.435,13.0,19.8,0.658,12.3,37.1,11.8,7.7,5.2,11.4,16.9,66.5,7.41,8.57,68.6
2024,Big Ten,14,Michigan,32,2,10,0.25,,104.6,113.3,-8.7,25.9,58.4,0.444,8.0,22.2,0.359,0.512,13.2,18.7,0.703,10.6,35.4,12.5,4.2,3.6,12.9,17.2,79.0,5.28,11.34,68.9
2025,Big Ten,1,Michigan State,37,8,2,0.811,,112.3,97.0,15.2,27.1,59.2,0.458,6.1,19.5,0.311,0.509,17.4,22.4,0.779,11.9,39.8,16.6,5.3,4.6,11.4,16.7,67.1,22.43,11.89,69.0
2025,Big Ten,2,Maryland,36,5,5,0.75,,114.8,95.1,19.7,28.9,61.4,0.47,8.1,21.7,0.373,0.536,15.3,20.3,0.75,10.6,36.3,14.2,7.9,4.5,10.1,15.3,67.2,23.33,9.41,70.3
2025,Big Ten,3,Michigan,37,7,3,0.73,,109.5,100.3,9.1,27.3,58.4,0.468,8.1,24.5,0.332,0.538,15.2,20.9,0.728,11.1,38.4,15.8,5.4,3.6,14.0,17.1,71.5,20.21,13.69,70.7
2025,Big Ten,4,Wisconsin,37,6,5,0.73,,116.3,102.8,13.4,26.8,59.0,0.454,9.9,28.4,0.348,0.538,16.6,20.2,0.826,9.4,36.5,14.5,5.1,2.4,9.6,16.5,70.9,20.73,11.49,68.7
2025,Big Ten,5,UCLA,34,5,5,0.676,,112.0,98.5,13.6,26.7,57.6,0.464,7.4,21.0,0.352,0.528,13.2,18.6,0.71,10.8,32.6,16.3,8.1,3.1,10.6,17.2,65.2,19.68,10.71,66.2
2025,Big Ten,6,Purdue,36,5,6,0.667,,116.8,106.3,10.4,27.4,56.3,0.486,8.3,21.6,0.382,0.559,14.3,19.5,0.732,9.8,32.9,15.9,6.4,1.6,10.4,15.8,70.4,20.8,13.91,66.2
2025,Big Ten,7,Illinois,35,5,5,0.629,,114.8,102.7,12.1,28.7,63.8,0.451,9.4,30.1,0.313,0.524,16.7,21.9,0.762,12.9,42.6,14.9,4.3,4.2,11.7,16.2,74.8,21.59,12.79,72.3
2025,Big Ten,8,Oregon,35,7,4,0.714,,110.2,102.0,8.2,27.1,58.9,0.46,7.7,22.5,0.344,0.525,14.7,19.4,0.757,10.2,35.8,14.3,7.2,3.7,11.3,16.3,70.9,18.0,12.32,68.7
2025,Big Ten,9,Indiana,32,4,6,0.594,,107.7,103.9,3.8,27.2,59.4,0.458,6.3,19.8,0.321,0.511,13.9,19.7,0.706,10.9,36.4,15.9,5.8,3.3,11.6,16.6,72.0,14.63,12.0,69.1
2025,Big Ten,10,Ohio State,32,4,7,0.531,,112.4,104.9,7.5,27.4,58.9,0.466,8.2,22.2,0.368,0.535,15.8,21.1,0.748,9.5,33.7,13.2,6.5,3.6,10.9,19.6,73.5,17.86,12.58,68.5
2025,Big Ten,11,Rutgers,32,3,8,0.469,,108.8,109.6,-0.8,27.0,60.6,0.446,7.2,22.0,0.329,0.506,15.8,21.9,0.718,11.2,35.3,12.9,7.0,3.9,10.9,17.1,77.6,10.41,10.94,69.4
2025,Big Ten,12,Northwestern,33,2,9,0.515,,107.9,103.1,4.9,26.1,59.1,0.441,6.7,20.2,0.333,0.498,13.6,18.5,0.733,10.9,33.8,14.5,6.9,3.5,10.0,17.6,69.2,14.4,11.13,66.1
2025,Big Ten,13,Nebraska,35,5,7,0.6,,108.5,103.7,4.9,26.5,58.1,0.456,7.5,22.4,0.335,0.521,15.5,20.6,0.749,9.2,35.4,14.2,7.2,2.9,11.3,15.6,72.6,13.86,10.46,69.0
2025,Big Ten,14,USC,35,3,7,0.486,,110.4,107.4,3.0,27.3,56.4,0.485,7.2,19.6,0.365,0.548,14.9,20.1,0.741,8.6,31.7,15.5,6.3,3.1,12.3,17.7,74.6,12.97,10.86,69.0
2025,Big Ten,15,Minnesota,32,5,5,0.469,,104.6,107.2,-2.5,24.9,56.4,0.441,6.5,20.3,0.322,0.499,11.8,17.8,0.664,10.5,33.9,15.3,6.0,4.7,10.8,17.5,69.7,8.48,10.14,63.8
